,date,venue_name,new_venue,location,latitude,longitude
0,2015-04-05,Wrigley Field,Wrigley Field,"Wrigley Field, 1060, West Addison Street, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",41.9481225,-87.6563513145702
314,2015-04-06,Safeco Field,Safeco Field,"T-Mobile Park, 3rd Avenue South, International District/Chinatown, Seattle, King County, Washington, 98104, United States",47.5914138,-122.33202253168486
567,2015-04-06,Marlins Park,Marlins Park,"Marlins Park, Northwest 15th Avenue, Miami, Miami-Dade County, Florida, 33125, United States",25.778247399999998,-80.21980500744203
810,2015-04-06,Tropicana Field,Tropicana Field,"Tropicana Field, Pinellas Trail, Methodist Town, St. Petersburg, Pinellas County, Florida, 33705-2135, United States",27.7680559,-82.65327550461797
1105,2015-04-06,Citizens Bank Park,Citizens Bank Park,"Citizens Bank Park, Pattison Avenue, South Philadelphia Sports Complex, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19145, United States",39.905885749999996,-75.16541101747245
1407,2015-04-06,Kauffman Stadium,Kauffman Stadium,"Kauffman Stadium, Red Coat Drive, Kansas City, Jackson County, Missouri, 64129, United States",39.05144525,-94.48047131020274
1664,2015-04-06,Minute Maid Park,Minute Maid Park,"Minute Maid Park, 501, Crawford Street, Houston, Harris County, Texas, 77004, United States",29.75723205,-95.35523391491142
1894,2015-04-06,Miller Park,American Family Field,"American Family Field, 1, Brewers Way, Story Hill, Milwaukee, Milwaukee County, Wisconsin, 53214, United States",43.0280619,-87.97209586840818
2178,2015-04-06,Comerica Park,Comerica Park,"Comerica Park, East Montcalm Street, Greektown, Midtown, Detroit, Wayne County, Michigan, 48201, United States",42.33915895,-83.0496248178274
2407,2015-04-06,Nationals Park,Nationals Park,"Nationals Park, 1500, South Capitol Street Southeast, Washington, District of Columbia, 20590, United States",38.87274095,-77.00838588569519
2652,2015-04-06,Great American Ball Park,Great American Ball Park,"Great American Ball Park, Broadway Street, Lytle Park Historic District, Cincinnati, Hamilton County, Ohio, 45202-2209, United States",39.097248449999995,-84.50662325533993
2895,2015-04-06,Dodger Stadium,Dodger Stadium,"Dodger Stadium, 1000, Vin Scully Avenue, Elysian Park, Los Angeles, Los Angeles County, California, 90012, United States",34.074552350000005,-118.2400480577922
3177,2015-04-06,Chase Field,Chase Field,"Chase Field, South 7th Street, Phoenix, Maricopa County, Arizona, 85004, United States",33.44548555,-112.06669283293144
3457,2015-04-06,O.co Coliseum,RingCentral Coliseum,"RingCentral Coliseum, 7000, Coliseum Way, Oakland-Alameda County Coliseum Complex, Oakland, Alameda County, California, 94621, United States",37.751675000000006,-122.19937132239198
3744,2015-04-06,Yankee Stadium,Yankee Stadium,"Yankee Stadium, 1, East 161st Street, The Bronx, Bronx County, New York, 10451, United States",40.82958275,-73.92652118491901
4041,2015-04-07,Safeco Field,Safeco Field,"T-Mobile Park, 3rd Avenue South, International District/Chinatown, Seattle, King County, Washington, 98104, United States",47.5914138,-122.33202253168486
4275,2015-04-07,Marlins Park,Marlins Park,"Marlins Park, Northwest 15th Avenue, Miami, Miami-Dade County, Florida, 33125, United States",25.778247399999998,-80.21980500744203
4614,2015-04-07,Tropicana Field,Tropicana Field,"Tropicana Field, Pinellas Trail, Methodist Town, St. Petersburg, Pinellas County, Florida, 33705-2135, United States",27.7680559,-82.65327550461797
4941,2015-04-07,Miller Park,American Family Field,"American Family Field, 1, Brewers Way, Story Hill, Milwaukee, Milwaukee County, Wisconsin, 53214, United States",43.0280619,-87.97209586840818
5203,2015-04-07,Dodger Stadium,Dodger Stadium,"Dodger Stadium, 1000, Vin Scully Avenue, Elysian Park, Los Angeles, Los Angeles County, California, 90012, United States",34.074552350000005,-118.2400480577922
5512,2015-04-07,Chase Field,Chase Field,"Chase Field, South 7th Street, Phoenix, Maricopa County, Arizona, 85004, United States",33.44548555,-112.06669283293144
5805,2015-04-07,O.co Coliseum,RingCentral Coliseum,"RingCentral Coliseum, 7000, Coliseum Way, Oakland-Alameda County Coliseum Complex, Oakland, Alameda County, California, 94621, United States",37.751675000000006,-122.19937132239198
6065,2015-04-08,Safeco Field,Safeco Field,"T-Mobile Park, 3rd Avenue South, International District/Chinatown, Seattle, King County, Washington, 98104, United States",47.5914138,-122.33202253168486
6329,2015-04-08,Marlins Park,Marlins Park,"Marlins Park, Northwest 15th Avenue, Miami, Miami-Dade County, Florida, 33125, United States",25.778247399999998,-80.21980500744203
6607,2015-04-08,Tropicana Field,Tropicana Field,"Tropicana Field, Pinellas Trail, Methodist Town, St. Petersburg, Pinellas County, Florida, 33705-2135, United States",27.7680559,-82.65327550461797
6900,2015-04-08,Citizens Bank Park,Citizens Bank Park,"Citizens Bank Park, Pattison Avenue, South Philadelphia Sports Complex, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19145, United States",39.905885749999996,-75.16541101747245
7192,2015-04-08,Kauffman Stadium,Kauffman Stadium,"Kauffman Stadium, Red Coat Drive, Kansas City, Jackson County, Missouri, 64129, United States",39.05144525,-94.48047131020274
7465,2015-04-08,Minute Maid Park,Minute Maid Park,"Minute Maid Park, 501, Crawford Street, Houston, Harris County, Texas, 77004, United States",29.75723205,-95.35523391491142
7712,2015-04-08,Miller Park,American Family Field,"American Family Field, 1, Brewers Way, Story Hill, Milwaukee, Milwaukee County, Wisconsin, 53214, United States",43.0280619,-87.97209586840818
8004,2015-04-08,Comerica Park,Comerica Park,"Comerica Park, East Montcalm Street, Greektown, Midtown, Detroit, Wayne County, Michigan, 48201, United States",42.33915895,-83.0496248178274
8319,2015-04-08,Nationals Park,Nationals Park,"Nationals Park, 1500, South Capitol Street Southeast, Washington, District of Columbia, 20590, United States",38.87274095,-77.00838588569519
8569,2015-04-08,Great American Ball Park,Great American Ball Park,"Great American Ball Park, Broadway Street, Lytle Park Historic District, Cincinnati, Hamilton County, Ohio, 45202-2209, United States",39.097248449999995,-84.50662325533993
8957,2015-04-08,Dodger Stadium,Dodger Stadium,"Dodger Stadium, 1000, Vin Scully Avenue, Elysian Park, Los Angeles, Los Angeles County, California, 90012, United States",34.074552350000005,-118.2400480577922
9250,2015-04-08,Chase Field,Chase Field,"Chase Field, South 7th Street, Phoenix, Maricopa County, Arizona, 85004, United States",33.44548555,-112.06669283293144
9527,2015-04-08,Wrigley Field,Wrigley Field,"Wrigley Field, 1060, West Addison Street, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",41.9481225,-87.6563513145702
9764,2015-04-08,O.co Coliseum,RingCentral Coliseum,"RingCentral Coliseum, 7000, Coliseum Way, Oakland-Alameda County Coliseum Complex, Oakland, Alameda County, California, 94621, United States",37.751675000000006,-122.19937132239198
10050,2015-04-08,Yankee Stadium,Yankee Stadium,"Yankee Stadium, 1, East 161st Street, The Bronx, Bronx County, New York, 10451, United States",40.82958275,-73.92652118491901
10339,2015-04-09,Citizens Bank Park,Citizens Bank Park,"Citizens Bank Park, Pattison Avenue, South Philadelphia Sports Complex, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19145, United States",39.905885749999996,-75.16541101747245
10679,2015-04-09,Kauffman Stadium,Kauffman Stadium,"Kauffman Stadium, Red Coat Drive, Kansas City, Jackson County, Missouri, 64129, United States",39.05144525,-94.48047131020274
10898,2015-04-09,Minute Maid Park,Minute Maid Park,"Minute Maid Park, 501, Crawford Street, Houston, Harris County, Texas, 77004, United States",29.75723205,-95.35523391491142
11222,2015-04-09,Comerica Park,Comerica Park,"Comerica Park, East Montcalm Street, Greektown, Midtown, Detroit, Wayne County, Michigan, 48201, United States",42.33915895,-83.0496248178274
11465,2015-04-09,Nationals Park,Nationals Park,"Nationals Park, 1500, South Capitol Street Southeast, Washington, District of Columbia, 20590, United States",38.87274095,-77.00838588569519
11761,2015-04-09,Great American Ball Park,Great American Ball Park,"Great American Ball Park, Broadway Street, Lytle Park Historic District, Cincinnati, Hamilton County, Ohio, 45202-2209, United States",39.097248449999995,-84.50662325533993
12005,2015-04-09,Petco Park,Petco Park,"Petco Park, 100, Park Boulevard, Gaslamp Quarter, San Diego, San Diego County, California, 92101, United States",32.70718815,-117.15687745290565
12340,2015-04-09,O.co Coliseum,RingCentral Coliseum,"RingCentral Coliseum, 7000, Coliseum Way, Oakland-Alameda County Coliseum Complex, Oakland, Alameda County, California, 94621, United States",37.751675000000006,-122.19937132239198
12614,2015-04-09,Yankee Stadium,Yankee Stadium,"Yankee Stadium, 1, East 161st Street, The Bronx, Bronx County, New York, 10451, United States",40.82958275,-73.92652118491901
12908,2015-04-10,Yankee Stadium,Yankee Stadium,"Yankee Stadium, 1, East 161st Street, The Bronx, Bronx County, New York, 10451, United States",40.82958275,-73.92652118491901
13536,2015-04-10,Coors Field,Coors Field,"Coors Field, 2001, Blake Street, Five Points, Denver, Denver County, Colorado, 80205, United States",39.7560314,-104.99292855531493
13826,2015-04-10,Progressive Field,Progressive Field,"Progressive Field, 2401, Ontario Street, East 4th Street, Playhouse Square, Cleveland, Cuyahoga County, Ohio, 44115, United States",41.4960144,-81.6842002221565
14143,2015-04-10,Globe Life Park in Arlington,Globe Life Park in Arlington,"Globe Life Park in Arlington, 1000, Ballpark Way, Arlington, Tarrant County, Texas, 76011, United States",32.7513904,-97.08347649984134
14387,2015-04-10,Angel Stadium of Anaheim,Angel Stadium of Anaheim,"Angel Stadium of Anaheim, South Douglass Road, Anaheim, Orange County, California, 92806, United States",33.8002599,-117.88174262759796
14695,2015-04-10,Chase Field,Chase Field,"Chase Field, South 7th Street, Phoenix, Maricopa County, Arizona, 85004, United States",33.44548555,-112.06669283293144
15004,2015-04-10,U.S. Cellular Field,Guaranteed Rate Field,"Guaranteed Rate Field, 333, West 35th Street, Armour Square, Chicago, Cook County, Illinois, 60616, United States",41.8300162,-87.63256264837347
15306,2015-04-10,Turner Field,Turner Field,"Center Parc Stadium, 755, Hank Aaron Drive Southeast, Summerhill, Atlanta, Fulton County, Georgia, 30315, United States",33.735526699999994,-84.3886513344851
15621,2015-04-10,Miller Park,American Family Field,"American Family Field, 1, Brewers Way, Story Hill, Milwaukee, Milwaukee County, Wisconsin, 53214, United States",43.0280619,-87.97209586840818
15911,2015-04-10,O.co Coliseum,RingCentral Coliseum,"RingCentral Coliseum, 7000, Coliseum Way, Oakland-Alameda County Coliseum Complex, Oakland, Alameda County, California, 94621, United States",37.751675000000006,-122.19937132239198
16199,2015-04-10,Petco Park,Petco Park,"Petco Park, 100, Park Boulevard, Gaslamp Quarter, San Diego, San Diego County, California, 92101, United States",32.70718815,-117.15687745290565
16422,2015-04-10,Great American Ball Park,Great American Ball Park,"Great American Ball Park, Broadway Street, Lytle Park Historic District, Cincinnati, Hamilton County, Ohio, 45202-2209, United States",39.097248449999995,-84.50662325533993
16681,2015-04-10,Marlins Park,Marlins Park,"Marlins Park, Northwest 15th Avenue, Miami, Miami-Dade County, Florida, 33125, United States",25.778247399999998,-80.21980500744203
17034,2015-04-10,Oriole Park at Camden Yards,Oriole Park at Camden Yards,"Oriole Park at Camden Yards, 555, Russell Street, Ridgely's Delight, Baltimore, Maryland, 21230, United States",39.283982300000005,-76.62249149865416
17326,2015-04-10,Citizens Bank Park,Citizens Bank Park,"Citizens Bank Park, Pattison Avenue, South Philadelphia Sports Complex, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19145, United States",39.905885749999996,-75.16541101747245
17579,2015-04-11,Yankee Stadium,Yankee Stadium,"Yankee Stadium, 1, East 161st Street, The Bronx, Bronx County, New York, 10451, United States",40.82958275,-73.92652118491901
17881,2015-04-11,Coors Field,Coors Field,"Coors Field, 2001, Blake Street, Five Points, Denver, Denver County, Colorado, 80205, United States",39.7560314,-104.99292855531493
18191,2015-04-11,Progressive Field,Progressive Field,"Progressive Field, 2401, Ontario Street, East 4th Street, Playhouse Square, Cleveland, Cuyahoga County, Ohio, 44115, United States",41.4960144,-81.6842002221565
18548,2015-04-11,Globe Life Park in Arlington,Globe Life Park in Arlington,"Globe Life Park in Arlington, 1000, Ballpark Way, Arlington, Tarrant County, Texas, 76011, United States",32.7513904,-97.08347649984134
18837,2015-04-11,Angel Stadium of Anaheim,Angel Stadium of Anaheim,"Angel Stadium of Anaheim, South Douglass Road, Anaheim, Orange County, California, 92806, United States",33.8002599,-117.88174262759796
19098,2015-04-11,Chase Field,Chase Field,"Chase Field, South 7th Street, Phoenix, Maricopa County, Arizona, 85004, United States",33.44548555,-112.06669283293144
19367,2015-04-11,U.S. Cellular Field,Guaranteed Rate Field,"Guaranteed Rate Field, 333, West 35th Street, Armour Square, Chicago, Cook County, Illinois, 60616, United States",41.8300162,-87.63256264837347
19637,2015-04-11,Turner Field,Turner Field,"Center Parc Stadium, 755, Hank Aaron Drive Southeast, Summerhill, Atlanta, Fulton County, Georgia, 30315, United States",33.735526699999994,-84.3886513344851
19871,2015-04-11,Miller Park,American Family Field,"American Family Field, 1, Brewers Way, Story Hill, Milwaukee, Milwaukee County, Wisconsin, 53214, United States",43.0280619,-87.97209586840818
20097,2015-04-11,O.co Coliseum,RingCentral Coliseum,"RingCentral Coliseum, 7000, Coliseum Way, Oakland-Alameda County Coliseum Complex, Oakland, Alameda County, California, 94621, United States",37.751675000000006,-122.19937132239198
20433,2015-04-11,Petco Park,Petco Park,"Petco Park, 100, Park Boulevard, Gaslamp Quarter, San Diego, San Diego County, California, 92101, United States",32.70718815,-117.15687745290565
20749,2015-04-11,Great American Ball Park,Great American Ball Park,"Great American Ball Park, Broadway Street, Lytle Park Historic District, Cincinnati, Hamilton County, Ohio, 45202-2209, United States",39.097248449999995,-84.50662325533993
20981,2015-04-11,Marlins Park,Marlins Park,"Marlins Park, Northwest 15th Avenue, Miami, Miami-Dade County, Florida, 33125, United States",25.778247399999998,-80.21980500744203
21239,2015-04-11,Oriole Park at Camden Yards,Oriole Park at Camden Yards,"Oriole Park at Camden Yards, 555, Russell Street, Ridgely's Delight, Baltimore, Maryland, 21230, United States",39.283982300000005,-76.62249149865416
21511,2015-04-11,Citizens Bank Park,Citizens Bank Park,"Citizens Bank Park, Pattison Avenue, South Philadelphia Sports Complex, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19145, United States",39.905885749999996,-75.16541101747245
21846,2015-04-12,Yankee Stadium,Yankee Stadium,"Yankee Stadium, 1, East 161st Street, The Bronx, Bronx County, New York, 10451, United States",40.82958275,-73.92652118491901
22169,2015-04-12,Coors Field,Coors Field,"Coors Field, 2001, Blake Street, Five Points, Denver, Denver County, Colorado, 80205, United States",39.7560314,-104.99292855531493
22462,2015-04-12,Progressive Field,Progressive Field,"Progressive Field, 2401, Ontario Street, East 4th Street, Playhouse Square, Cleveland, Cuyahoga County, Ohio, 44115, United States",41.4960144,-81.6842002221565
22781,2015-04-12,Globe Life Park in Arlington,Globe Life Park in Arlington,"Globe Life Park in Arlington, 1000, Ballpark Way, Arlington, Tarrant County, Texas, 76011, United States",32.7513904,-97.08347649984134
23203,2015-04-12,Angel Stadium of Anaheim,Angel Stadium of Anaheim,"Angel Stadium of Anaheim, South Douglass Road, Anaheim, Orange County, California, 92806, United States",33.8002599,-117.88174262759796
23483,2015-04-12,Chase Field,Chase Field,"Chase Field, South 7th Street, Phoenix, Maricopa County, Arizona, 85004, United States",33.44548555,-112.06669283293144
23801,2015-04-12,U.S. Cellular Field,Guaranteed Rate Field,"Guaranteed Rate Field, 333, West 35th Street, Armour Square, Chicago, Cook County, Illinois, 60616, United States",41.8300162,-87.63256264837347
24087,2015-04-12,Turner Field,Turner Field,"Center Parc Stadium, 755, Hank Aaron Drive Southeast, Summerhill, Atlanta, Fulton County, Georgia, 30315, United States",33.735526699999994,-84.3886513344851
24320,2015-04-12,Miller Park,American Family Field,"American Family Field, 1, Brewers Way, Story Hill, Milwaukee, Milwaukee County, Wisconsin, 53214, United States",43.0280619,-87.97209586840818
24610,2015-04-12,O.co Coliseum,RingCentral Coliseum,"RingCentral Coliseum, 7000, Coliseum Way, Oakland-Alameda County Coliseum Complex, Oakland, Alameda County, California, 94621, United States",37.751675000000006,-122.19937132239198
24913,2015-04-12,Petco Park,Petco Park,"Petco Park, 100, Park Boulevard, Gaslamp Quarter, San Diego, San Diego County, California, 92101, United States",32.70718815,-117.15687745290565
25200,2015-04-12,Great American Ball Park,Great American Ball Park,"Great American Ball Park, Broadway Street, Lytle Park Historic District, Cincinnati, Hamilton County, Ohio, 45202-2209, United States",39.097248449999995,-84.50662325533993
25589,2015-04-12,Marlins Park,Marlins Park,"Marlins Park, Northwest 15th Avenue, Miami, Miami-Dade County, Florida, 33125, United States",25.778247399999998,-80.21980500744203
25905,2015-04-12,Oriole Park at Camden Yards,Oriole Park at Camden Yards,"Oriole Park at Camden Yards, 555, Russell Street, Ridgely's Delight, Baltimore, Maryland, 21230, United States",39.283982300000005,-76.62249149865416
26234,2015-04-12,Citizens Bank Park,Citizens Bank Park,"Citizens Bank Park, Pattison Avenue, South Philadelphia Sports Complex, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19145, United States",39.905885749999996,-75.16541101747245
26557,2015-04-13,Globe Life Park in Arlington,Globe Life Park in Arlington,"Globe Life Park in Arlington, 1000, Ballpark Way, Arlington, Tarrant County, Texas, 76011, United States",32.7513904,-97.08347649984134
26846,2015-04-13,Petco Park,Petco Park,"Petco Park, 100, Park Boulevard, Gaslamp Quarter, San Diego, San Diego County, California, 92101, United States",32.70718815,-117.15687745290565
27164,2015-04-13,Wrigley Field,Wrigley Field,"Wrigley Field, 1060, West Addison Street, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",41.9481225,-87.6563513145702
27477,2015-04-13,AT&T Park,Oracle Park,"Oracle Park, 24, Willie Mays Plaza, South Beach, San Francisco, San Francisco City and County, California, 94107, United States",37.7786119,-122.39026745425639
27748,2015-04-13,PNC Park,PNC Park,"PNC Park, Federal Street, North Shore, Pittsburgh, Allegheny County, Pennsylvania, 15222, United States",40.4469258,-80.00560626612204
27990,2015-04-13,Target Field,Target Field,"Target Field, 1, Twins Way, Minneapolis, Hennepin County, Minnesota, 55403, United States",44.9817039,-93.27784575955167
28267,2015-04-13,Turner Field,Turner Field,"Center Parc Stadium, 755, Hank Aaron Drive Southeast, Summerhill, Atlanta, Fulton County, Georgia, 30315, United States",33.735526699999994,-84.3886513344851
28562,2015-04-13,Busch Stadium,Busch Stadium,"Busch Stadium, I 64;US 40, Downtown, City of Saint Louis, Missouri, 63102-1102, United States",38.6225538,-90.19392193458768
28830,2015-04-13,Oriole Park at Camden Yards,Oriole Park at Camden Yards,"Oriole Park at Camden Yards, 555, Russell Street, Ridgely's Delight, Baltimore, Maryland, 21230, United States",39.283982300000005,-76.62249149865416
29125,2015-04-13,Minute Maid Park,Minute Maid Park,"Minute Maid Park, 501, Crawford Street, Houston, Harris County, Texas, 77004, United States",29.75723205,-95.35523391491142
29419,2015-04-13,Citi Field,Citi Field,"Citi Field, 41, Seaver Way, Queens, Queens County, New York, 11368, United States",40.757277849999994,-73.84587884942417
29702,2015-04-13,Dodger Stadium,Dodger Stadium,"Dodger Stadium, 1000, Vin Scully Avenue, Elysian Park, Los Angeles, Los Angeles County, California, 90012, United States",34.074552350000005,-118.2400480577922
29999,2015-04-13,Rogers Centre,Rogers Centre,"Rogers Centre, 1, Blue Jays Way, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1J1, Canada",43.6416641,-79.38919882366382
30264,2015-04-13,Fenway Park,Fenway Park,"Fenway Park, 4, Jersey Street, Audubon Square, Boston, Suffolk County, Massachusetts, 02115, United States",42.3464621,-71.0971002033302
30565,2015-04-14,Globe Life Park in Arlington,Globe Life Park in Arlington,"Globe Life Park in Arlington, 1000, Ballpark Way, Arlington, Tarrant County, Texas, 76011, United States",32.7513904,-97.08347649984134
30858,2015-04-14,Petco Park,Petco Park,"Petco Park, 100, Park Boulevard, Gaslamp Quarter, San Diego, San Diego County, California, 92101, United States",32.70718815,-117.15687745290565
31091,2015-04-14,Progressive Field,Progressive Field,"Progressive Field, 2401, Ontario Street, East 4th Street, Playhouse Square, Cleveland, Cuyahoga County, Ohio, 44115, United States",41.4960144,-81.6842002221565
31363,2015-04-14,Wrigley Field,Wrigley Field,"Wrigley Field, 1060, West Addison Street, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",41.9481225,-87.6563513145702
31650,2015-04-14,AT&T Park,Oracle Park,"Oracle Park, 24, Willie Mays Plaza, South Beach, San Francisco, San Francisco City and County, California, 94107, United States",37.7786119,-122.39026745425639
31941,2015-04-14,PNC Park,PNC Park,"PNC Park, Federal Street, North Shore, Pittsburgh, Allegheny County, Pennsylvania, 15222, United States",40.4469258,-80.00560626612204
32188,2015-04-14,Turner Field,Turner Field,"Center Parc Stadium, 755, Hank Aaron Drive Southeast, Summerhill, Atlanta, Fulton County, Georgia, 30315, United States",33.735526699999994,-84.3886513344851
32495,2015-04-14,Oriole Park at Camden Yards,Oriole Park at Camden Yards,"Oriole Park at Camden Yards, 555, Russell Street, Ridgely's Delight, Baltimore, Maryland, 21230, United States",39.283982300000005,-76.62249149865416
32731,2015-04-14,Minute Maid Park,Minute Maid Park,"Minute Maid Park, 501, Crawford Street, Houston, Harris County, Texas, 77004, United States",29.75723205,-95.35523391491142
33019,2015-04-14,Citi Field,Citi Field,"Citi Field, 41, Seaver Way, Queens, Queens County, New York, 11368, United States",40.757277849999994,-73.84587884942417
33314,2015-04-14,Dodger Stadium,Dodger Stadium,"Dodger Stadium, 1000, Vin Scully Avenue, Elysian Park, Los Angeles, Los Angeles County, California, 90012, United States",34.074552350000005,-118.2400480577922
33636,2015-04-14,Rogers Centre,Rogers Centre,"Rogers Centre, 1, Blue Jays Way, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1J1, Canada",43.6416641,-79.38919882366382
33950,2015-04-14,Fenway Park,Fenway Park,"Fenway Park, 4, Jersey Street, Audubon Square, Boston, Suffolk County, Massachusetts, 02115, United States",42.3464621,-71.0971002033302
34262,2015-04-15,Globe Life Park in Arlington,Globe Life Park in Arlington,"Globe Life Park in Arlington, 1000, Ballpark Way, Arlington, Tarrant County, Texas, 76011, United States",32.7513904,-97.08347649984134
34599,2015-04-15,Petco Park,Petco Park,"Petco Park, 100, Park Boulevard, Gaslamp Quarter, San Diego, San Diego County, California, 92101, United States",32.70718815,-117.15687745290565
34839,2015-04-15,Progressive Field,Progressive Field,"Progressive Field, 2401, Ontario Street, East 4th Street, Playhouse Square, Cleveland, Cuyahoga County, Ohio, 44115, United States",41.4960144,-81.6842002221565
35142,2015-04-15,Wrigley Field,Wrigley Field,"Wrigley Field, 1060, West Addison Street, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",41.9481225,-87.6563513145702
35399,2015-04-15,AT&T Park,Oracle Park,"Oracle Park, 24, Willie Mays Plaza, South Beach, San Francisco, San Francisco City and County, California, 94107, United States",37.7786119,-122.39026745425639
35677,2015-04-15,PNC Park,PNC Park,"PNC Park, Federal Street, North Shore, Pittsburgh, Allegheny County, Pennsylvania, 15222, United States",40.4469258,-80.00560626612204
35931,2015-04-15,Target Field,Target Field,"Target Field, 1, Twins Way, Minneapolis, Hennepin County, Minnesota, 55403, United States",44.9817039,-93.27784575955167
36174,2015-04-15,Turner Field,Turner Field,"Center Parc Stadium, 755, Hank Aaron Drive Southeast, Summerhill, Atlanta, Fulton County, Georgia, 30315, United States",33.735526699999994,-84.3886513344851
36447,2015-04-15,Busch Stadium,Busch Stadium,"Busch Stadium, I 64;US 40, Downtown, City of Saint Louis, Missouri, 63102-1102, United States",38.6225538,-90.19392193458768
36712,2015-04-15,Oriole Park at Camden Yards,Oriole Park at Camden Yards,"Oriole Park at Camden Yards, 555, Russell Street, Ridgely's Delight, Baltimore, Maryland, 21230, United States",39.283982300000005,-76.62249149865416
37022,2015-04-15,Minute Maid Park,Minute Maid Park,"Minute Maid Park, 501, Crawford Street, Houston, Harris County, Texas, 77004, United States",29.75723205,-95.35523391491142
37290,2015-04-15,Citi Field,Citi Field,"Citi Field, 41, Seaver Way, Queens, Queens County, New York, 11368, United States",40.757277849999994,-73.84587884942417
37556,2015-04-15,Dodger Stadium,Dodger Stadium,"Dodger Stadium, 1000, Vin Scully Avenue, Elysian Park, Los Angeles, Los Angeles County, California, 90012, United States",34.074552350000005,-118.2400480577922
37821,2015-04-15,Rogers Centre,Rogers Centre,"Rogers Centre, 1, Blue Jays Way, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1J1, Canada",43.6416641,-79.38919882366382
38140,2015-04-15,Fenway Park,Fenway Park,"Fenway Park, 4, Jersey Street, Audubon Square, Boston, Suffolk County, Massachusetts, 02115, United States",42.3464621,-71.0971002033302
38491,2015-04-16,AT&T Park,Oracle Park,"Oracle Park, 24, Willie Mays Plaza, South Beach, San Francisco, San Francisco City and County, California, 94107, United States",37.7786119,-122.39026745425639
38883,2015-04-16,Target Field,Target Field,"Target Field, 1, Twins Way, Minneapolis, Hennepin County, Minnesota, 55403, United States",44.9817039,-93.27784575955167
39173,2015-04-16,Citi Field,Citi Field,"Citi Field, 41, Seaver Way, Queens, Queens County, New York, 11368, United States",40.757277849999994,-73.84587884942417
39477,2015-04-16,Busch Stadium,Busch Stadium,"Busch Stadium, I 64;US 40, Downtown, City of Saint Louis, Missouri, 63102-1102, United States",38.6225538,-90.19392193458768
