,date,venue_name,latitude,longitude,wdir,temp,maxt,visibility,wspd,cloudcover,mint,precip,snowdepth,dew,humidity,precipcover
0,2017-04-02,Busch Stadium,38.62255379999999,-90.19392193458769,116.71,13.3,19.4,9.9,12.5,11.0,7.3,0.25,0.0,7.0,66.63,4.17
1,2017-04-02,Tropicana Field,27.7680559,-82.65327550461797,135.58,24.3,29.4,9.9,11.1,5.5,21.0,0.0,0.0,18.9,73.06,0.0
2,2017-04-02,Chase Field,33.44548555,-112.06669283293144,161.79,20.0,27.1,9.9,12.7,22.6,12.1,0.0,0.0,0.6,29.9,0.0
3,2017-04-03,Oakland Coliseum,37.75167500000001,-122.19937132239198,200.42,14.9,20.6,9.5,17.1,17.0,8.9,0.0,0.0,7.5,63.81,0.0
4,2017-04-03,Citi Field,40.75727785,-73.84587884942417,194.04,12.9,16.6,9.9,17.0,65.7,8.8,0.0,0.0,0.2,42.47,0.0
5,2017-04-03,Globe Life Park in Arlington,32.7513904,-97.08347649984135,193.96,17.9,25.9,9.9,11.5,20.3,10.9,0.0,0.0,10.1,64.08,0.0
6,2017-04-03,Miller Park,43.0280619,-87.97209586840819,67.13,7.1,9.4,7.2,14.4,87.2,5.7,16.52,0.0,4.2,81.73,50.0
7,2017-04-03,Target Field,44.9817039,-93.2778457595517,63.71,9.5,10.8,6.5,12.2,92.3,8.3,1.78,0.0,6.9,84.36,29.17
8,2017-04-03,Nationals Park,38.87274095,-77.00838588569519,176.25,14.3,18.9,9.7,16.7,75.4,9.1,2.8,0.0,7.5,65.28,8.33
9,2017-04-03,Great American Ball Park,39.09724845,-84.50662325533993,120.96,14.3,19.8,9.6,14.5,56.1,9.3,3.98,0.0,10.8,79.63,16.67
10,2017-04-03,Fenway Park,42.346462100000004,-71.0971002033302,220.04,7.8,12.3,9.9,12.9,38.2,3.3,0.0,1.04,-1.8,51.39,0.0
11,2017-04-03,Dodger Stadium,34.074552350000005,-118.24004805779221,172.71,15.6,19.0,9.2,8.7,69.2,13.7,0.0,0.0,10.6,72.47,0.0
12,2017-04-03,Minute Maid Park,29.75723205,-95.35523391491142,247.54,22.8,30.1,9.9,13.2,4.9,15.0,0.0,0.0,11.3,53.26,0.0
13,2017-04-03,Oriole Park at Camden Yards,39.28398230000001,-76.62249149865416,134.33,12.6,20.0,9.6,14.4,63.4,4.9,3.24,0.0,5.4,65.21,16.67
14,2017-04-04,Oakland Coliseum,37.75167500000001,-122.19937132239198,253.88,14.7,21.1,9.5,15.7,46.7,10.6,0.0,0.0,8.9,69.75,0.0
15,2017-04-04,Busch Stadium,38.62255379999999,-90.19392193458769,214.46,15.4,18.2,9.9,14.3,72.4,12.2,0.09,0.0,10.0,70.97,8.33
16,2017-04-04,Globe Life Park in Arlington,32.7513904,-97.08347649984135,178.33,21.7,28.2,9.9,19.6,8.5,16.7,0.0,0.0,11.3,54.56,0.0
17,2017-04-04,Miller Park,43.0280619,-87.97209586840819,252.71,9.0,13.3,8.6,12.7,81.8,6.6,6.86,0.0,5.0,77.32,50.0
18,2017-04-04,Guaranteed Rate Field,41.8300162,-87.63256264837347,200.5,9.4,13.0,8.6,12.6,76.7,7.9,0.21,0.0,6.0,80.23,16.67
19,2017-04-04,Tropicana Field,27.7680559,-82.65327550461797,200.83,24.9,27.3,9.5,18.2,34.5,22.2,0.0,0.0,22.3,85.58,0.0
20,2017-04-04,Dodger Stadium,34.074552350000005,-118.24004805779221,193.29,17.5,22.4,9.1,9.1,38.3,14.6,0.0,0.0,10.5,64.64,0.0
21,2017-04-04,Minute Maid Park,29.75723205,-95.35523391491142,162.33,23.7,30.0,9.6,18.3,15.8,17.8,0.0,0.0,16.2,68.21,0.0
22,2017-04-04,Chase Field,33.44548555,-112.06669283293144,268.63,20.7,26.0,9.9,15.3,33.3,14.8,0.0,0.0,-4.0,21.86,0.0
23,2017-04-05,Oakland Coliseum,37.75167500000001,-122.19937132239198,205.71,16.2,22.2,9.9,14.9,68.8,11.7,0.0,0.0,4.3,49.6,0.0
24,2017-04-05,Citi Field,40.75727785,-73.84587884942417,106.67,10.8,16.1,6.5,15.4,79.1,7.8,0.0,0.0,6.3,75.22,0.0
25,2017-04-05,Globe Life Park in Arlington,32.7513904,-97.08347649984135,306.08,15.4,21.1,9.9,19.6,8.9,9.0,0.0,0.0,3.0,46.64,0.0
26,2017-04-05,Miller Park,43.0280619,-87.97209586840819,31.46,4.9,7.0,8.3,22.3,82.1,3.7,10.51,0.0,0.9,76.37,50.0
27,2017-04-05,Target Field,44.9817039,-93.2778457595517,182.46,7.8,12.4,9.8,12.1,39.2,3.0,0.0,0.0,-4.6,43.35,0.0
28,2017-04-05,Nationals Park,38.87274095,-77.00838588569519,217.21,19.0,22.8,9.9,14.1,61.3,15.6,0.0,0.0,7.6,47.9,0.0
29,2017-04-05,Tropicana Field,27.7680559,-82.65327550461797,199.75,24.4,28.0,8.3,22.0,36.2,21.2,0.0,0.0,22.2,88.83,0.0
30,2017-04-05,Great American Ball Park,39.09724845,-84.50662325533993,113.63,14.8,24.9,9.9,17.5,34.3,8.3,4.15,0.0,9.9,75.3,16.67
31,2017-04-05,Fenway Park,42.346462100000004,-71.0971002033302,179.21,4.1,5.4,8.9,11.9,90.1,3.0,1.04,0.0,2.6,89.85,8.33
32,2017-04-05,Dodger Stadium,34.074552350000005,-118.24004805779221,133.54,19.7,26.9,9.0,8.1,0.0,13.8,0.0,0.0,10.3,59.32,0.0
33,2017-04-05,Minute Maid Park,29.75723205,-95.35523391491142,300.38,20.4,23.1,8.8,21.9,27.9,16.3,0.28,0.0,8.5,50.37,8.33
34,2017-04-05,Chase Field,33.44548555,-112.06669283293144,129.29,21.9,28.8,9.9,13.5,39.1,14.9,0.0,0.0,-5.5,17.43,0.0
35,2017-04-05,Oriole Park at Camden Yards,39.28398230000001,-76.62249149865416,205.25,17.2,20.6,9.9,15.0,44.7,13.6,0.0,0.0,6.8,50.93,0.0
36,2017-04-06,Oakland Coliseum,37.75167500000001,-122.19937132239198,133.63,15.4,18.8,9.1,39.7,88.7,11.7,13.7,0.0,3.3,46.4,25.0
37,2017-04-06,Citi Field,40.75727785,-73.84587884942417,110.25,8.0,11.5,6.3,26.3,85.1,6.0,21.36,0.0,5.2,82.92,62.5
38,2017-04-06,Busch Stadium,38.62255379999999,-90.19392193458769,316.13,10.2,14.3,9.9,25.9,44.9,6.1,1.51,0.0,1.5,57.13,29.17
39,2017-04-06,Miller Park,43.0280619,-87.97209586840819,169.83,5.8,10.3,9.9,22.5,66.1,3.4,0.68,0.0,-1.3,61.29,12.5
40,2017-04-06,Guaranteed Rate Field,41.8300162,-87.63256264837347,208.0,5.9,9.9,8.1,25.6,72.8,3.3,15.29,0.0,0.6,70.42,33.33
41,2017-04-06,Target Field,44.9817039,-93.2778457595517,266.75,7.0,12.5,9.9,16.1,7.8,1.6,0.0,0.0,-6.9,39.44,0.0
42,2017-04-06,Nationals Park,38.87274095,-77.00838588569519,155.75,13.9,15.0,8.1,24.4,72.7,11.7,31.07,0.0,10.3,80.12,37.5
43,2017-04-06,Great American Ball Park,39.09724845,-84.50662325533993,273.63,8.5,14.2,8.9,20.7,76.1,5.4,6.63,0.0,5.5,81.59,54.17
44,2017-04-06,Dodger Stadium,34.074552350000005,-118.24004805779221,196.5,17.7,24.7,8.3,10.3,13.5,14.2,0.0,0.0,12.1,71.27,0.0
45,2017-04-06,Minute Maid Park,29.75723205,-95.35523391491142,232.79,19.3,25.1,9.9,9.3,6.1,13.2,0.0,0.0,2.1,35.05,0.0
46,2017-04-06,Chase Field,33.44548555,-112.06669283293144,132.04,24.2,32.7,9.9,11.1,33.2,16.0,0.0,0.0,-3.5,17.58,0.0
47,2017-04-06,Tropicana Field,27.7680559,-82.65327550461797,299.71,20.7,23.9,8.5,21.7,28.2,14.3,45.82,0.0,14.7,71.79,12.5
48,2017-04-07,PNC Park,40.446925799999995,-80.00560626612204,293.0,1.6,3.5,6.2,17.3,74.5,0.2,1.66,0.0,-2.1,77.58,58.33
49,2017-04-07,Comerica Park,42.33915895,-83.04962481782741,319.46,5.0,10.1,10.4,19.9,44.7,1.5,1.31,0.0,-4.3,56.27,12.5
50,2017-04-07,Miller Park,43.0280619,-87.97209586840819,194.67,6.3,10.6,9.9,16.0,36.3,2.1,0.0,0.0,-7.5,37.83,0.0
51,2017-04-07,Busch Stadium,38.62255379999999,-90.19392193458769,281.42,10.4,16.7,9.9,12.4,3.3,5.4,0.0,0.0,-2.0,44.66,0.0
52,2017-04-07,Chase Field,33.44548555,-112.06669283293144,160.0,25.1,32.0,9.9,9.9,61.2,17.7,0.0,0.0,-3.1,17.29,0.0
53,2017-04-07,Minute Maid Park,29.75723205,-95.35523391491142,209.13,20.8,27.5,9.8,10.6,13.6,14.9,0.0,0.0,7.2,43.99,0.0
54,2017-04-07,Coors Field,39.756031400000005,-104.99292855531492,187.54,16.2,23.4,9.9,19.6,51.8,7.7,0.0,0.0,-3.0,29.66,0.0
55,2017-04-07,Citi Field,40.75727785,-73.84587884942417,258.83,9.1,11.5,9.9,27.6,67.5,6.4,0.0,0.0,1.0,57.53,0.0
56,2017-04-07,Guaranteed Rate Field,41.8300162,-87.63256264837347,185.67,6.9,11.9,9.9,18.5,44.0,2.8,0.0,0.0,-6.4,40.94,0.0
57,2017-04-07,Oriole Park at Camden Yards,39.28398230000001,-76.62249149865416,277.96,7.8,10.3,9.9,28.2,78.0,5.9,0.0,0.0,-1.0,54.18,0.0
58,2017-04-07,Globe Life Park in Arlington,32.7513904,-97.08347649984135,106.21,17.9,25.2,9.9,14.5,7.5,10.2,0.0,0.0,6.5,50.38,0.0
59,2017-04-07,Angel Stadium of Anaheim,33.8002599,-117.88174262759796,180.86,17.4,21.4,9.9,8.5,52.9,14.4,0.0,0.0,10.5,65.89,0.0
60,2017-04-07,Petco Park,32.70718815,-117.15687745290563,203.63,17.1,20.7,9.2,10.5,64.8,14.3,0.0,0.0,11.4,69.81,0.0
61,2017-04-07,Tropicana Field,27.7680559,-82.65327550461797,230.13,18.8,20.1,9.9,21.8,2.4,17.1,0.0,0.0,7.0,46.98,0.0
62,2017-04-07,Citizens Bank Park,39.90588575,-75.16541101747245,271.33,8.0,12.0,9.9,24.9,79.8,5.9,0.0,0.0,-0.3,56.13,0.0
63,2017-04-08,PNC Park,40.446925799999995,-80.00560626612204,279.96,6.7,14.3,9.9,13.6,6.7,-0.9,0.0,0.0,-6.4,41.6,0.0
64,2017-04-08,Comerica Park,42.33915895,-83.04962481782741,253.42,8.5,14.7,11.6,14.4,7.3,0.9,0.0,0.0,-3.9,43.39,0.0
65,2017-04-08,Miller Park,43.0280619,-87.97209586840819,190.42,11.2,18.0,9.9,18.0,45.5,3.2,0.0,0.0,-1.1,43.23,0.0
66,2017-04-08,Busch Stadium,38.62255379999999,-90.19392193458769,153.21,15.3,24.4,9.9,18.8,6.0,6.4,0.0,0.0,3.5,46.56,0.0
67,2017-04-08,Chase Field,33.44548555,-112.06669283293144,180.96,23.6,29.9,9.9,16.0,46.5,16.7,0.0,0.0,-3.3,19.47,0.0
68,2017-04-08,Minute Maid Park,29.75723205,-95.35523391491142,175.63,21.2,26.9,9.9,17.7,16.2,17.0,0.0,0.0,11.9,57.25,0.0
69,2017-04-08,Coors Field,39.756031400000005,-104.99292855531492,209.79,17.3,23.6,9.9,18.1,58.3,11.0,0.0,0.0,-4.0,24.61,0.0
70,2017-04-08,Citi Field,40.75727785,-73.84587884942417,306.63,9.2,13.8,9.9,21.2,51.8,5.9,0.0,0.0,-4.8,38.4,0.0
